Code,Country,Title Of Document Or Source,English Translation Of Title (When Applicable),Source Type,Type Of Document Or Source,Link To Document Or Source,Date Of Publication,Language,Date Entered,Brief Explanation And Notes
ITA17,Italy,"Vaccino Covid, Speranza: “Prime dosi a medici e anziani, poi a insegnanti e forze dell’ordine”","Covid vaccine, Speranza: ""First doses to doctors and the elderly, then teachers and army and police""",National Implementation Plan,Media,https://www.ilfattoquotidiano.it/2020/12/02/vaccino-covid-speranza-prime-dosi-a-medici-e-anziani-poi-a-insegnanti-e-forze-dellordine/6023800/,02/12/2020,Italian,12 Sep 2021,Example of statement / Health Ministry explaining vaccination policy
ITA18,Italy,Decreto direttoriale 19 november 2020 - composizione Gruppo di lavoro intersettoriale su vaccini e vaccination anti-Covid,Decree of 19 Nov. 2020 - composition of inter-sectorial group on vaccines and vaccination for covid=19,National Implementation Plan,Official National Document,https://www.trovanorme.salute.gov.it/norme/renderNormsanPdf?anno=2020&codLeg=77935&parte=1%20&serie=null,19/11/2020,Italian,12 Sep 2021,-
ITA19,Italy,Questions and answers on COVID-19 vaccines,-,Official Vaccine Policy,Official National Document,https://www.aifa.gov.it/documents/20142/1297852/Domande_risposte_vaccini_covid-19_EN.pdf,last update 04/08/2021,English,12 Sep 2021,-
ITA20,Italy,Piano Vaccinale Anticovid,Vaccination plan against COVID,Official Vaccine Policy,Official National Document,https://www.governo.it/sites/governo.it/files/210313_Piano_Vaccinale_marzo_2021_2.pdf,13/03/2021,Italian,12 Sep 2021,-
ROM01,Romania,Strategie de vaccinare impotriva COVID 19 in Romania,Vaccine strategy against Covid 19 in Romania,National Implementation Plan,Official National Document,https://vaccinare-covid.gov.ro/wp-content/uploads/2020/12/Strategia-vaccinare-02-12-2020-CL-FINAL-cu-COVID-19-tabel-2_CUPRINS-UPDATE-1.pdf,02/01/2021,Romanian,25 Jun 2021,The national strategy for vaccinating Romanians. No mention of undocumented/vulnerable populations.
ROM03,Romania,Strategie de vaccinare actualizata,Updated Vaccine Strategy December,National Implementation Plan,Official National Document,https://vaccinare-covid.gov.ro/wp-content/uploads/2021/02/STRATEGIE-din-27-noiembrie-2020-actualizata-20-ianuarie-2021.pdf,03/12/2021,Romanian,25 Jun 2021,-
ROM06,Romania,Nota de informare privind evolutia campaniei de vaccinare 21.12 - 19.03.2021,Informational note about the evolution of the vaccination campaign,National Implementation Plan,Official National Document,https://sgg.gov.ro/1/wp-content/uploads/2021/03/INFO.pdf,/,Romanian,25 Jun 2021,-
ROM07,Romania,Conferință de presă susținută de președintele Comitetului național de coordonare a activităților privind vaccinarea,Press conference held by the President of the National Coordinating Committee for SARS-CoV-2 Vaccination Activities (CNCAV),National Implementation Plan,Other Government Communication,https://gov.ro/ro/stiri/conferinta-de-presa-sustinuta-de-pre-edintele-comitetului-national-de-coordonare-a-activitatilor-privind-vaccinarea-impotriva-sars-cov-2-cncav-valeriu-gheorghita-i-secretarul-de-stat-in-ministerul-sanatatii-i-vicepre-edinte-cncav-andrei-baciu1620721925,11/05/2021,Romanian,25 Jun 2021,-
ROM08,Romania,Stiri oficiale despre Covid,Official news by the government about Covid,Official Vaccine Policy,Media,https://stirioficiale.ro/informatii,/,Romanian,25 Jun 2021,-
ROM10,Romania,Bugetul 2021,2021 Budget,Official Vaccine Policy,Other Government Communication,https://mfinante.gov.ro/ro/acasa/transparenta/proiecte-acte-normative?p_p_id=com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_Bg185RyrkUe4&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_Bg185RyrkUe4_delta=20&p_r_p_resetCur=false&_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_Bg185RyrkUe4_cur=3,-,Romanian,-,-
ROM11,Romania,National vaccine registration website screenshot,National vaccine registration website screenshot,Vaccine Registration Website,Registration Website,https://programare.vaccinare-covid.gov.ro/#/home,-,Romanian,-,-
POL01,Poland,Narodowy Program Szczepien,National Vaccination Strategy,Official Vaccine Policy,Official National Document,Narodowy Program Szczepień przeciw COVID-19 - Szczepienie przeciwko COVID-19 - Portal Gov.pl (www.gov.pl),12/2020,Polish,29 Jun 2021,-
POL02,Poland,Pismo od Ministerstwa Zdrowia do RPO,Response from Min of Health to Polish Ombudsman,-,Other Government Communication,Odpowiedz_MZ_16.06.2021.pdf (rpo.gov.pl),16/06/2021,Polish,29 Jun 2021,"Ministry of Health responds to Ombudsman questions about vaccinating migrants, incl. undocumented ones"
POL03,Poland,Dworczyk: punkty szczepień zrezygnowały z prawie miliona dawek z powodu braku zainteresowania,Dworczyk: vaccination points dropped almost a million doses due to lack of interest,National Implementation Plan,Media,"Koronawirus w Polsce. Konferencja prasowa Michała Dworczyka, Michała Kuczmierowskiego i Andrzeja Horbana 1 lipca - relacja na żywo - TVN24",01/07/2021,Polish,5 Jul 2021,"Latest press conference by the government minister in charge of the national vaccination programme, July 1"
POL04,Poland,Strona glowna e-rejestracja,Online registration page,Vaccine Registration Website,Registration Website,Strona główna | Pacjent,-,Polish,5 Jul 2021,-
POL05,Poland,email from Border Guard,email from Border Guard,-,Other Government Communication,-,02/07/2021,Polish,5 Jul 2021,email from Border Guards giving details on vaccination of people in refugee centers
POL06,Poland,website of national lottery,The Lottery of the National Vaccination Programme,-,Other Government Communication,Strona główna - Loteria Narodowego Programu Szczepień - Portal Gov.pl (www.gov.pl),-,Polish,2 Aug 2021,-
POL07,Poland,website of vaccination certificate,Travel in Europe with the EU Certificate,-,Other Government Communication,Podróżuj po Europie z Unijnym Certyfikatem COVID | Pacjent,-,Polish,2 Aug 2021,-
SLO01,Slovakia,Národná stratégia očkovania proti ochoreniu COVID-19 v podmienkach Slovenskej republiky,National Strategy Against the COVID_19 disease in the conditions of the Slovak Republic,Official Vaccine Policy,Official National Document,https://www.uvzsr.sk/docs/info/covid19/3_Vlastny_material_zapr_prip.pdf,23/12/2020,Slovak,30 Jun 2021,SELECTED: Most comprehensive gov document - The official document from the Slovak government detailing the foundations and basic tenets of Slovakia's vaccine policy and a step-by-step rollout of the country's vaccination strategy
SLO02,Slovakia,Pandemický plán pre prípad pandémie v Slovenskej Republike,Pandemic plan for the event of a pandemic in the Slovak Republic,National Implementation Plan,Official National Document,https://www.uvzsr.sk/docs/info/covid19/Pandemicky_plan_pre_pripad_pandemie_v_Slovenskej_republike.pdf,11/08/2020,Slovak,30 Jun 2021,SELECTED: Most comprehensive gov document - An official document from Slovakia's Public Health Authority and the Health Ministry laying out the roles and competences of state institutions in combatting a pandemic in its various stages
SLO04,Slovakia,Prihlasovanie na očkovanie,Application for vaccination,Vaccine Registration Website,Registration Website,https://vakcinacia.nczisk.sk/registracia,07/06/2021 latest version,Slovak,30 Jun 2021,The official vaccine registration webportal
SLO05,Slovakia,Slovensko proti Covidu,Slovakia Against Covid,National Implementation Plan,Other Government Communication,https://www.slovenskoproticovidu.sk/sk/,N/A,"Slovak, English, Hungarian",30 Jun 2021,"SELECTED: Comprehensive gov communication - An info site run by the Slovak government informing about the number of vaccinated Slovaks, the gap to the goal to vaccinate 60% of the population and containing useful tips about vaccines, debunking of hoaxes and campaigns by influencers"
SLO06,Slovakia,Očkovať proti COVID-19 sa môžu aj niektorí cudzinci a dlžníci na poistnom,Vaccination against COVID-19 now available for some foreigners and insurance debtors,National Implementation Plan,Other Government Communication,https://www.health.gov.sk/Clanok?covid-19-14-04-2021-ockovanie-cudzinci,14/04/2021,Slovak,30 Jun 2021,"SELECTED: Most up-to-date policy - Official communication by the health ministry informing about vaccination options for some foreigners, unfortunately for these foreigners only available in Slovak"
SLO08,Slovakia,Skupiny osôb s nárokom na poskytnutie očkovania proti COVID-19,Groups of individuals eligible for vaccination against Covid-19,National Implementation Plan,Other Government Communication,https://www.health.gov.sk/Clanok?ockovanie-proti-ochoreniu-covid-19,14/06/2021,Slovak,30 Jun 2021,"SELECTED: Most up-to-date policy - Official communication by the health ministry updating eligibility criteria for vaccination, now including people and foreign students without public health insurance as well as asylum seekers"
SLO13,Slovakia,Kto a kedy sa bude môcť dať zaočkovať?,Who and when can get vaccinated?,National Implementation Plan,Registration Website,https://korona.gov.sk/vakcinacia/,13/04/2021,Slovak,5 Jul 2021,SELECTED: Comprehensive gov communication - Overview of vaccination policy for the general population + Registration
SLO14,Slovakia,Očkovanie je najvyššia hodnota za peniaze,Vaccination is the highest value for money,National Implementation Plan,Other Government Communication,https://www.mfsr.sk/sk/financie/hodnota-za-peniaze/blogy-uhp/2021/ockovanie/?forceBrowserDetector=pc,31/05/2021,Slovak,5 Jul 2021,SELECTED: Comprehensive gov communication - Explanation of pandemic-related and vaccination costs
SLO15,Slovakia,Očkovanie - informačná povinnosť ÚVZ,Vaccination - information duty Public Health Authority,National Implementation Plan,Other Government Communication,https://korona.gov.sk/ockovanie-informacna-povinnost-uvz/,NA,Slovak,5 Jul 2021,SELECTED: Comprehensive gov communication - Explanation of personal data usage by Public Health Authority when registering for vaccination
EST01,Estonia,COVID-19 vaktsineerimise plaan aprill-juuni 2021,COVID-19 Vaccination plan April-June 2021,National Implementation Plan,Official National Document,https://www.sm.ee/sites/default/files/news-related-files/covid-19_vaktsineerimise_plaan_1904.pdf,20/04/2021,Estonian,1 Jul 2021,"The National vaccination plan that explains who and when are eligible to get the vaccine, ""plan"" ended with June"
EST02,Estonia,Vaktsineerimine Eestis,Vaccination in Estonia,National Implementation Plan,Official National Document,https://vaktsineeri.ee/covid-19/vaktsineerimine-eestis/,-,Estonian,1 Jul 2021,Generic information about country's vaccination and a timeline
EST03,Estonia,Uninsured people and foreigners living in Estonia can get vaccinated against COVID-19 free of charge,-,National Implementation Plan,Other Government Communication,https://vaktsineeri.ee/en/news/people-not-covered-by-health-insurance-and-foreigners-living-in-estonia-can-get-vaccinated-against-covid-19-for-free/,25/05/2021,English,1 Jul 2021,Vaccination information for uninsured people or foreigners living in Estonia
EST06,Estonia,Vaktsineerimine Eestis,Vaccination in Estonia,National Implementation Plan,Other Government Communication,https://www.kriis.ee/et/vaktsineerimine-eestis,04/07/2021,Estonian,5 Jul 2021,National website that provides information on vaccination. It has a small section that discusses non-Estonian vaccination.
EST07,Estonia,Riigi 2021. aasta lisaeelarve seaduse eelnõu seletuskiri,Country's 2021 extra-budget official statement,National Implementation Plan,Official National Document,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwj31sHCzcvxAhXi-SoKHbVJDOMQFjAAegQIBBAD&url=https%3A%2F%2Fwww.rahandusministeerium.ee%2Fsystem%2Ffiles_force%2Fdocument_files%2F2021-aasta_riigieelarve_seaduse_seletuskiri.pdf%3Fdownload%3D1&usg=AOvVaw1olL9DnUr0vPP_qLiBsuEo,2021,Estonian,5 Jul 2021,The national budget confirmation document that has details about the money spent on fighting the crisis (including vaccines)
EST08,Estonia,E-mail riigiametnikult,An e-mail from the government,Official Vaccine Policy,Other Government Communication,-,30/07/2021,Estonian,2 Aug 2021,An e-mail sent by a government official that explains the vaccination of undocumented citizens of Estonia
EST09,Estonia,Vaktsineerimiskava avalikustamine ning ministri kommentaar,"Press release about the vaccination startegy, health minister's comment",National Implementation Plan,Other Government Communication,https://www.sm.ee/et/uudised/maikuu-jooksul-avaneb-jark-jargult-covid-19-vastu-vaktsineerimise-voimalus-koigile,20/04/2021,Estonian,7 Sep 2021,The press release about the vaccination strategy. Health minister Tanel Kiik explaining what the plan consists of.
EST10,Estonia,Tervise ja Heaolu Infosüsteemide Keskuse isikuandmete töötlemise põhimõtted,Data collecting principles in the patient portal,Vaccine Registration Website,Registration Website,https://www.tehik.ee/info-kodanikule,-,Estonian,7 Sep 2021,The press realse about the vaccination strategy. Health minister Tanel Kiik explaining what the plan consists of.
